target,level,requests,wall_s,total_tokens,aggregate_tok_s,per_stream_tok_s,ttft_ms_median,ttft_ms_max,passed,total,peak_ram_gb
aya,1,8,59.12,974,16.47,18.13,689.0,1834.4,5,8,18.8298828125
aya,2,8,38.41,974,25.36,13.67,865.1,1301.2,5,8,18.84931640625
aya,4,8,28.86,974,33.75,11.71,1166.7,1398.4,5,8,18.88935546875
aya,8,8,27.45,974,35.49,6.73,3262.8,3263.8,5,8,18.97578125
aya,12,8,26.39,974,36.91,6.95,2490.2,2495.4,5,8,18.9783203125
aya,16,8,26.23,974,37.13,6.9,2465.4,2471.5,5,8,18.9783203125
coder,1,8,12.09,1016,84.02,110.5,180.3,1453.7,4,8,16.3275390625
coder,2,8,7.65,1032,134.85,89.2,385.2,723.1,2,8,16.33564453125
coder,4,8,5.96,1013,169.92,66.46,506.9,863.2,3,8,16.3556640625
coder,8,8,4.68,1069,228.41,44.17,819.5,824.3,4,8,16.4005859375
coder,12,8,4.65,1069,229.69,44.31,808.6,811.8,4,8,16.40087890625
coder,16,8,4.69,1069,227.79,43.91,820.6,826.6,4,8,16.4009765625
coder-next,1,8,18.92,1084,57.29,75.41,217.8,2851.2,8,8,42.14482421875
coder-next,1,8,18.6,1084,58.28,76.62,231.2,2792.6,8,8,42.15771484375
coder-next,1,8,19.13,1084,56.65,73.91,210.3,3102.5,8,8,42.1416015625
coder-next,1,8,18.69,1084,58.0,75.83,212.0,2964.2,8,8,42.1412109375
coder-next,2,8,11.63,1083,93.11,64.37,548.6,885.8,8,8,42.0912109375
coder-next,2,8,11.46,1080,94.23,66.12,509.4,699.8,8,8,42.09013671875
coder-next,2,8,11.45,1071,93.55,59.33,473.5,713.3,8,8,42.08330078125
coder-next,2,8,10.98,1088,99.12,64.96,436.7,647.1,8,8,42.085546875
coder-next,4,8,8.41,1087,129.18,50.94,775.9,989.1,8,8,42.11640625
coder-next,4,8,8.41,1088,129.36,50.41,689.7,813.6,8,8,42.1142578125
coder-next,4,8,8.71,1089,125.08,49.76,859.5,874.8,8,8,42.10654296875
coder-next,4,8,7.87,1088,138.21,52.46,673.6,764.0,8,8,42.11142578125
coder-next,8,8,6.37,1087,170.62,37.53,1233.2,1271.8,8,8,42.1583984375
coder-next,8,8,6.33,1087,171.86,38.17,1125.8,1132.6,8,8,42.155859375
coder-next,8,8,6.68,1087,162.75,36.06,1249.3,1251.9,8,8,42.15146484375
coder-next,8,8,6.11,1087,177.79,38.11,1089.5,1093.7,8,8,42.15146484375
coder-next,12,8,6.61,1087,164.51,36.51,1320.4,1322.7,8,8,42.15576171875
coder-next,12,8,6.14,1087,176.99,38.18,1099.6,1102.4,8,8,42.1533203125
coder-next,16,8,6.29,1087,172.8,37.91,1239.1,1246.3,8,8,42.15576171875
coder-next,16,8,6.14,1087,176.95,38.07,1072.9,1080.3,8,8,42.15341796875
deepseek-v4,1,8,7200.05,0,0.0,,,,0,8,0.102734375
deepseek-v4,2,8,3600.04,0,0.0,,,,0,8,0.1033203125
deepseek-v4,4,8,1800.02,0,0.0,,,,0,8,0.10380859375
deepseek-v4,8,8,900.01,0,0.0,,,,0,8,0.10439453125
deepseek-v4,12,8,900.05,0,0.0,,,,0,8,0.1048828125
deepseek-v4,16,8,900.02,0,0.0,,,,0,8,0.10546875
devstral,1,8,41.44,951,22.95,25.3,401.8,1751.6,8,8,13.73916015625
devstral,2,8,26.15,952,36.4,19.53,824.9,887.0,8,8,13.638671875
devstral,4,8,18.63,952,51.1,15.91,776.3,785.1,8,8,13.66826171875
devstral,8,8,14.89,952,63.93,10.38,1445.5,1450.7,8,8,13.70947265625
devstral,12,8,14.93,952,63.77,10.42,1446.8,1452.6,8,8,13.71044921875
devstral,16,8,14.92,952,63.83,10.39,1438.9,1444.2,8,8,13.7103515625
devstral2,1,8,41.77,951,22.77,26.03,441.2,1944.4,8,8,13.72568359375
devstral2,2,8,24.66,952,38.61,20.53,584.1,978.4,8,8,13.65771484375
devstral2,4,8,17.3,951,54.96,17.77,722.8,996.9,8,8,13.67783203125
devstral2,8,8,14.3,952,66.58,10.85,1462.8,1464.9,8,8,13.71884765625
devstral2,12,8,14.61,952,65.15,10.6,1481.5,1485.1,8,8,13.71962890625
devstral2,16,8,15.28,952,62.28,10.08,1499.0,1500.0,8,8,13.72021484375
gemma,1,8,287.67,20826,72.4,74.93,380.8,1457.2,8,8,14.33623046875
gemma,2,8,182.2,16996,93.28,48.85,695.6,1432.8,7,8,13.74169921875
gemma,4,8,165.43,22077,133.45,37.56,780.8,1058.7,8,8,13.7705078125
gemma,8,8,106.94,15760,147.37,27.85,1396.4,1398.9,6,8,13.8259765625
gemma,12,8,105.92,15760,148.79,27.9,1440.8,1446.3,6,8,13.82880859375
gemma,16,8,104.39,15760,150.98,28.67,1339.7,1345.7,6,8,13.8291015625
glm-flash,1,8,110.33,8073,73.17,76.2,194.3,1853.5,2,8,16.2130859375
glm-flash,2,8,71.35,7724,108.26,58.66,452.2,634.3,3,8,16.1427734375
glm-flash,4,8,53.9,7819,145.07,38.62,521.4,800.6,3,8,16.165625
glm-flash,8,8,43.25,7652,176.91,24.13,849.4,854.1,6,8,16.21181640625
glm-flash,12,8,42.92,7652,178.3,24.33,861.6,866.3,6,8,16.2119140625
glm-flash,16,8,42.84,7652,178.61,24.38,867.2,873.0,6,8,16.212109375
gptoss,1,8,28.84,2991,103.71,113.62,148.0,1019.2,8,8,11.8416015625
gptoss,1,8,35.89,2991,83.33,88.35,202.7,314.2,8,8,11.79580078125
gptoss,1,8,34.21,3093,90.41,93.08,182.3,258.4,8,8,11.873046875
gptoss,1,8,36.38,3093,85.02,86.78,207.4,325.9,8,8,11.86640625
gptoss,1,8,34.6,2991,86.45,92.44,193.3,1052.0,8,8,11.82763671875
gptoss,1,8,32.94,2785,84.54,91.35,235.5,861.2,8,8,11.81982421875
gptoss,1,8,30.35,2785,91.76,99.34,196.1,942.9,8,8,11.860546875
gptoss,1,8,36.64,3885,106.04,113.26,167.1,215.1,8,8,11.78408203125
gptoss,1,8,37.38,3885,103.94,114.06,163.5,1010.1,8,8,11.82822265625
gptoss,2,8,20.22,2837,140.33,84.54,381.6,749.7,8,8,11.7806640625
gptoss,2,8,29.51,3430,116.24,77.83,385.5,725.2,8,8,11.7810546875
gptoss,2,8,25.38,2982,117.48,70.34,357.1,700.2,8,8,11.77734375
gptoss,2,8,23.99,2819,117.5,70.05,428.9,727.9,8,8,11.80751953125
gptoss,2,8,21.86,3116,142.53,87.79,468.2,768.8,8,8,11.79921875
gptoss,2,8,44.04,5281,119.91,84.35,336.8,616.7,8,8,11.80634765625
gptoss,4,8,28.67,4006,139.73,58.25,613.7,777.2,8,8,11.8125
gptoss,4,8,51.14,5306,103.76,54.43,628.6,849.8,8,8,11.81259765625
gptoss,4,8,25.24,3338,132.26,47.14,570.6,608.0,8,8,11.80751953125
gptoss,4,8,37.82,4599,121.59,52.84,576.2,715.7,8,8,11.840625
gptoss,4,8,20.99,3432,163.52,58.84,598.7,619.1,8,8,11.82998046875
gptoss,4,8,21.35,3323,155.67,55.73,593.2,603.8,8,8,11.840234375
gptoss,8,8,55.45,6017,108.5,34.76,873.8,902.0,6,8,11.87421875
