target,name,architecture,stack,sidelined,coding_passed,coding_total,ceval_passed,ceval_total,python_passed,python_total,bash_passed,bash_total,chard_passed,chard_total,pyhard_passed,pyhard_total,shhard_passed,shhard_total,research_passed,research_total,brutal-c_passed,brutal-c_total,brutal-python_passed,brutal-python_total,brutal-bash_passed,brutal-bash_total,decode_tok_s,decode_tok_s_std,peak_ram_gb,quality_passed,quality_total,ppl_wikitext,ppl_tulu
kimi-k3,kimi-k3 (referee),,MLX,no,6,6,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,,,,
gptoss120,gpt-oss-120b,MoE,MLX,no,123,144,41,48,24,24,15,24,8,9,9,9,9,9,2,3,5,6,6,6,4,6,66.73203225408626,5.491068535654728,52.733367919921875,9,18,15.444,
qwen38flash,qwen3.8-flash-next 125B,MoE,llama.cpp fork,no,123,144,46,48,24,24,15,24,8,9,9,9,5,9,2,3,4,6,4,6,6,6,33.496842938940894,0.1487472642859829,38.61602783203125,18,18,,
gptoss,gpt-oss-20b,MoE,MLX,no,114,144,43,48,24,24,14,24,6,9,8,9,6,9,1,3,5,6,4,6,3,6,106.25619630174258,1.0764663605670706,11.76934814453125,9,18,25.0,8.244
qwen27,qwen3.8-27b,dense,MLX,no,112,144,40,48,24,24,15,24,3,9,9,9,6,9,3,3,3,6,6,6,3,6,18.283666600308333,0.015391861854612105,15.51019287109375,18,18,11.344,6.47
laguna-s,laguna-s 2.1 117B,MoE,MLX,no,111,144,46,48,24,24,15,24,6,9,9,9,2,9,0,3,3,6,3,6,3,6,32.75217556819343,1.1709314950859684,13.543075561523438,18,18,,
coder-next,qwen3-coder-next 80B,MoE,MLX,no,108,144,43,48,23,24,15,24,6,9,8,9,4,9,3,3,0,6,4,6,2,6,54.77813090656956,1.2557344487719937,42.21757507324219,18,18,27.225,253533.109
nemotron3,nemotron-3-super 120B,MoE,MLX,no,108,144,45,48,24,24,15,24,3,9,8,9,3,9,2,3,2,6,3,6,3,6,20.25308181050663,0.9848620273036586,16.195724487304688,18,18,3.946,
gemma,gemma-4-26b,MoE,MLX,no,103,144,44,48,24,24,13,24,3,9,9,9,3,9,1,3,1,6,2,6,3,6,65.8398246540267,1.6060142361390262,13.7208251953125,18,18,1121.893,92.987
qwen36-27b,qwen3.6-27b,dense,MLX,no,103,144,34,48,24,24,15,24,4,9,9,9,6,9,0,3,3,6,4,6,4,6,18.48439367790996,0.9423285713738472,14.706451416015625,18,18,11.966,6.132
qwen35-122b,qwen3.5-122b-a10b,MoE,MLX,no,103,144,39,48,24,24,17,24,1,9,9,9,3,9,3,3,0,6,4,6,3,6,35.05976350344984,0.8267308088322924,27.203170776367188,18,18,3.212,
ornith,ornith-1.5 35b,MoE,MLX,no,102,144,34,48,23,24,18,24,5,9,8,9,7,9,3,3,0,6,2,6,2,6,59.36406111727746,0.6462669736984344,21.185760498046875,18,18,14.001,4.532
devstral2,devstral-2 24b (rerun),dense,MLX,no,101,144,43,48,23,24,12,24,4,9,6,9,3,9,3,3,2,6,2,6,3,6,31.62464135185594,0.7557590522960891,13.63653564453125,18,18,9.546,
ling,ling-2.6-flash 104B,MoE,MLX,no,101,144,43,48,21,24,13,24,3,9,9,9,1,9,3,3,3,6,3,6,2,6,48.43134980189626,0.6775729124867217,49.340484619140625,18,18,3.963,
