target,variant,task,trials,correct,best_ms,median_ms
aya,silent,dedupe,3,3,0.653,0.7
aya,silent,range_sums,3,1,124.39,124.39
aya,silent,top_freq,3,0,,
aya,told,dedupe,3,3,0.687,0.69
aya,told,range_sums,3,1,116.711,116.711
aya,told,top_freq,3,0,,
coder,silent,dedupe,3,3,0.644,0.659
coder,silent,range_sums,3,0,,
coder,silent,top_freq,3,3,51.579,52.92
coder,told,dedupe,3,3,0.651,0.659
coder,told,range_sums,3,1,0.319,0.319
coder,told,top_freq,3,3,49.449,54.664
coder-next,silent,dedupe,3,3,0.671,0.679
coder-next,silent,range_sums,3,3,118.375,119.389
coder-next,silent,top_freq,3,3,84.397,84.58
coder-next,told,dedupe,3,3,0.892,0.925
coder-next,told,range_sums,3,2,0.252,0.282
coder-next,told,top_freq,3,2,124.976,128.898
deepseek-v4,silent,dedupe,3,0,,
deepseek-v4,silent,range_sums,3,0,,
deepseek-v4,silent,top_freq,3,0,,
deepseek-v4,told,dedupe,3,0,,
deepseek-v4,told,range_sums,3,0,,
deepseek-v4,told,top_freq,3,0,,
devstral,silent,dedupe,3,2,0.635,1.052
devstral,silent,range_sums,3,3,116.634,117.697
devstral,silent,top_freq,3,3,81.995,88.221
devstral,told,dedupe,3,3,0.675,0.699
devstral,told,range_sums,3,2,0.322,117.538
devstral,told,top_freq,3,2,110.705,1104.525
devstral2,silent,dedupe,3,3,0.652,0.708
devstral2,silent,range_sums,3,3,118.719,125.246
devstral2,silent,top_freq,3,1,93.038,93.038
devstral2,told,dedupe,3,3,0.838,0.851
devstral2,told,range_sums,3,3,0.217,142.858
devstral2,told,top_freq,3,0,,
gemma,silent,dedupe,3,3,0.65,0.651
gemma,silent,range_sums,3,3,0.193,0.288
gemma,silent,top_freq,3,3,84.198,85.239
gemma,told,dedupe,3,3,0.65,0.656
gemma,told,range_sums,3,3,0.194,0.198
gemma,told,top_freq,3,3,82.744,85.337
glm-flash,silent,dedupe,3,3,0.655,0.662
glm-flash,silent,range_sums,3,2,0.305,116.738
glm-flash,silent,top_freq,3,3,48.219,48.281
glm-flash,told,dedupe,3,3,0.645,0.65
glm-flash,told,range_sums,3,2,0.322,0.355
glm-flash,told,top_freq,3,1,48.805,48.805
gptoss,silent,dedupe,3,3,0.664,0.671
gptoss,silent,range_sums,3,2,0.218,0.305
gptoss,silent,top_freq,3,3,54.989,90.489
gptoss,told,dedupe,3,3,0.762,0.804
gptoss,told,range_sums,3,3,0.234,0.25
gptoss,told,top_freq,3,3,100.371,106.076
gptoss120,silent,dedupe,3,3,1.406,1.43
gptoss120,silent,range_sums,3,3,0.314,0.399
gptoss120,silent,top_freq,3,3,89.985,182.662
gptoss120,told,dedupe,3,3,1.683,1.769
gptoss120,told,range_sums,3,3,0.381,0.401
gptoss120,told,top_freq,3,3,115.847,182.002
k2horizon,silent,dedupe,3,3,0.712,0.77
k2horizon,silent,range_sums,3,0,,
k2horizon,silent,top_freq,3,3,81.273,81.716
k2horizon,told,dedupe,3,3,0.831,0.832
k2horizon,told,range_sums,3,0,,
k2horizon,told,top_freq,3,3,79.3,85.242
katcoder,silent,dedupe,3,3,0.643,0.647
katcoder,silent,range_sums,3,0,,
katcoder,silent,top_freq,3,1,78.359,78.359
katcoder,told,dedupe,3,3,0.643,0.653
katcoder,told,range_sums,3,0,,
katcoder,told,top_freq,3,1,76.997,76.997
katcoder-reap,silent,dedupe,3,3,0.633,0.643
katcoder-reap,silent,range_sums,3,0,,
katcoder-reap,silent,top_freq,3,1,79.369,79.369
katcoder-reap,told,dedupe,3,3,0.643,0.645
katcoder-reap,told,range_sums,3,0,,
katcoder-reap,told,top_freq,3,0,,
laguna,silent,dedupe,3,3,0.654,0.659
laguna,silent,range_sums,3,3,0.315,0.334
laguna,silent,top_freq,3,3,89.414,91.114
laguna,told,dedupe,3,3,0.813,0.831
laguna,told,range_sums,3,2,0.303,0.361
laguna,told,top_freq,3,2,93.075,101.841
laguna-mlx,silent,dedupe,3,3,0.651,0.656
laguna-mlx,silent,range_sums,3,0,,
laguna-mlx,silent,top_freq,3,3,77.665,80.211
laguna-mlx,told,dedupe,3,3,0.643,0.649
laguna-mlx,told,range_sums,3,3,0.301,0.325
laguna-mlx,told,top_freq,3,3,80.001,80.726
laguna-s,silent,dedupe,3,3,0.774,0.83
laguna-s,silent,range_sums,3,2,152.411,155.874
laguna-s,silent,top_freq,3,3,105.988,106.575
laguna-s,told,dedupe,3,3,0.755,0.833
laguna-s,told,range_sums,3,0,,
laguna-s,told,top_freq,3,3,93.643,106.55
laguna21,silent,dedupe,3,3,0.652,0.656
laguna21,silent,range_sums,3,3,116.504,116.678
laguna21,silent,top_freq,3,3,78.855,81.693
laguna21,told,dedupe,3,3,0.655,0.656
laguna21,told,range_sums,3,0,,
laguna21,told,top_freq,3,3,82.439,82.812
ling,silent,dedupe,3,0,,
ling,silent,range_sums,3,0,,
ling,silent,top_freq,3,0,,
ling,told,dedupe,3,0,,
ling,told,range_sums,3,0,,
ling,told,top_freq,3,0,,
nemotron3,silent,dedupe,3,3,0.928,0.994
nemotron3,silent,range_sums,3,0,,
nemotron3,silent,top_freq,3,3,106.432,111.264
nemotron3,told,dedupe,3,3,0.82,0.905
nemotron3,told,range_sums,3,0,,
nemotron3,told,top_freq,3,3,114.537,119.163
nex25-mini,silent,dedupe,3,3,0.66,0.665
nex25-mini,silent,range_sums,3,2,0.312,0.313
nex25-mini,silent,top_freq,3,0,,
nex25-mini,told,dedupe,3,3,0.547,0.68
nex25-mini,told,range_sums,3,1,0.234,0.234
nex25-mini,told,top_freq,3,1,52.652,52.652
north,silent,dedupe,3,3,1.232,1.232
north,silent,range_sums,3,0,,
north,silent,top_freq,3,2,83.849,126.321
north,told,dedupe,3,3,1.216,1.229
north,told,range_sums,3,0,,
north,told,top_freq,3,1,127.329,127.329
ollama,silent,dedupe,3,3,0.642,0.649
ollama,silent,range_sums,3,3,0.224,0.317
ollama,silent,top_freq,3,0,,
ollama,told,dedupe,3,3,0.518,0.519
ollama,told,range_sums,3,0,,
ollama,told,top_freq,3,0,,
ornith,silent,dedupe,3,3,0.661,0.688
ornith,silent,range_sums,3,0,,
ornith,silent,top_freq,3,3,55.02,86.502
ornith,told,dedupe,3,3,0.673,0.699
ornith,told,range_sums,3,0,,
ornith,told,top_freq,3,3,55.022,83.423
qwen27,silent,dedupe,3,3,1.343,1.801
qwen27,silent,range_sums,3,3,123.275,187.621
qwen27,silent,top_freq,3,3,186.4,188.496
qwen27,told,dedupe,3,3,1.606,1.784
qwen27,told,range_sums,3,2,0.402,0.569
qwen27,told,top_freq,3,3,238.914,241.252
qwen35,silent,dedupe,3,3,0.646,0.662
qwen35,silent,range_sums,3,2,116.751,116.96
qwen35,silent,top_freq,3,3,79.484,80.405
qwen35,told,dedupe,3,3,0.661,0.663
qwen35,told,range_sums,3,0,,
qwen35,told,top_freq,3,3,81.239,83.349
qwen35-122b,silent,dedupe,3,3,0.784,0.884
qwen35-122b,silent,range_sums,3,2,147.223,149.057
qwen35-122b,silent,top_freq,3,3,98.043,109.448
qwen35-122b,told,dedupe,3,3,1.072,1.076
qwen35-122b,told,range_sums,3,2,0.37,0.4
qwen35-122b,told,top_freq,3,3,101.232,115.979
qwen35-27b,silent,dedupe,3,3,0.684,0.717
qwen35-27b,silent,range_sums,3,1,153.804,153.804
qwen35-27b,silent,top_freq,3,3,77.146,77.883
qwen35-27b,told,dedupe,3,3,0.643,0.66
qwen35-27b,told,range_sums,3,0,,
qwen35-27b,told,top_freq,3,3,78.894,79.096
qwen36-27b,silent,dedupe,3,3,0.524,0.639
qwen36-27b,silent,range_sums,3,1,116.662,116.662
qwen36-27b,silent,top_freq,3,3,78.977,79.986
qwen36-27b,told,dedupe,3,3,0.523,0.538
qwen36-27b,told,range_sums,3,0,,
qwen36-27b,told,top_freq,3,3,80.933,83.45
qwen36-35b,silent,dedupe,3,3,0.652,0.655
qwen36-35b,silent,range_sums,3,0,,
qwen36-35b,silent,top_freq,3,3,79.708,79.921
qwen36-35b,told,dedupe,3,3,0.646,0.649
qwen36-35b,told,range_sums,3,0,,
qwen36-35b,told,top_freq,3,3,47.849,79.059
qwen38flash,silent,dedupe,3,3,1.325,1.379
qwen38flash,silent,range_sums,3,3,158.4,184.841
qwen38flash,silent,top_freq,3,3,176.135,204.55
qwen38flash,told,dedupe,3,3,1.451,1.484
qwen38flash,told,range_sums,3,1,0.362,0.362
qwen38flash,told,top_freq,3,3,159.986,174.658
seed-oss,silent,dedupe,3,3,1.309,1.407
seed-oss,silent,range_sums,3,1,0.408,0.408
seed-oss,silent,top_freq,3,3,82.267,82.335
seed-oss,told,dedupe,3,3,1.221,1.224
seed-oss,told,range_sums,3,0,,
seed-oss,told,top_freq,3,3,79.254,80.648
