target,case,run,tok_s,ttft_ms,elapsed_s,completion_tokens,prompt_tokens,peak_ram_gb
gptoss,decode,0,106.25619630174258,161.77591599989682,19.435946000012336,2048,91,11.768890380859375
gptoss,decode,1,107.23588722769233,165.6986249727197,19.263782791997073,2048,91,11.769378662109375
gptoss,decode,2,104.6259796237284,168.61824999796227,19.74310641599004,2048,91,11.76934814453125
gptoss,prefill,0,88.82426510311723,3637.114416982513,5.078162083984353,128,11470,11.775650024414062
gptoss,prefill,1,85.11352996822026,3263.410457991995,4.767284166999161,128,11470,11.775680541992188
gptoss,prefill,2,89.67566568930813,3199.2826249916106,4.6266486670065206,128,11470,11.77606201171875
gptoss120,decode,0,69.97813842429346,339.4002499990165,29.605683208006667,2048,91,52.73316955566406
gptoss120,decode,1,66.73203225408626,418.0327919893898,31.10794183300459,2048,91,52.733367919921875
gptoss120,decode,2,57.05108836761095,437.34812500770204,36.33499808399938,2048,91,52.733428955078125
gptoss120,prefill,0,46.75560155298836,8220.39516599034,10.851095999998506,123,11470,52.74238586425781
gptoss120,prefill,1,45.114422835944296,8934.007000003476,11.660407832998317,123,11470,52.74244689941406
gptoss120,prefill,2,37.48210029737604,9875.847084011184,13.157413459004601,123,11470,52.743865966796875
gemma,decode,0,63.234921275866654,215.91112500755116,27.9379350420204,1753,40,13.709030151367188
gemma,decode,1,65.8398246540267,552.6934170047753,27.17791620900971,1753,40,13.728073120117188
gemma,decode,2,67.09033723475213,372.91974999243394,26.50186874999781,1753,40,13.7208251953125
gemma,prefill,0,60.782682332516444,6216.028750000987,6.643782165978337,26,11416,13.733489990234375
gemma,prefill,1,64.91049783559646,5993.879707995802,6.39443124999525,26,11416,13.733184814453125
gemma,prefill,2,56.47191702710017,6386.869917012518,6.847275750013068,26,11416,13.733322143554688
coder-next,decode,0,54.77813090656956,150.77004200429656,37.537952957995,2048,34,42.29280090332031
coder-next,decode,1,55.455976920583744,442.82837500213645,37.37302262498997,2048,34,42.216583251953125
coder-next,decode,2,52.518726737832424,428.92916698474437,39.4245432500029,2048,34,42.21757507324219
coder-next,prefill,0,54.052002468521806,8230.709124996793,9.858770916995127,88,11411,42.2254638671875
coder-next,prefill,1,64.7514841569247,7414.051917003235,8.773094125004718,88,11411,42.21232604980469
coder-next,prefill,2,61.70009166019299,7649.427875003312,9.075681833986891,88,11411,42.21000671386719
devstral,decode,0,33.10960669839774,215.16595801222138,58.50640504100011,1930,29,13.6280517578125
devstral,decode,1,29.50337244533096,285.91562499059364,65.70216604098096,1930,29,13.628875732421875
devstral,decode,2,25.729638943120868,332.37691698013805,75.34314579199417,1930,29,13.63348388671875
devstral,prefill,0,16.38092846183596,26044.88779202802,28.669891625002492,43,11407,13.64361572265625
devstral,prefill,1,13.10233543411358,33115.43791598524,36.397295582981315,43,11407,13.643692016601562
devstral,prefill,2,12.105984655787982,31259.228541021002,34.81119075001334,43,11407,13.643768310546875
devstral2,decode,0,32.771345305011785,205.30312502523884,58.030210292025004,1895,29,13.635223388671875
devstral2,decode,1,30.939392761956857,173.41500002657995,61.42219304101309,1895,29,13.63653564453125
devstral2,decode,2,31.62464135185594,220.157542033121,60.141785709012765,1895,29,13.640045166015625
devstral2,prefill,0,30.100397967435107,17193.637667049188,18.622190207999665,43,11407,13.643646240234375
devstral2,prefill,1,26.10987593524208,196.8046670081094,1.843691082962323,43,11407,13.647171020507812
devstral2,prefill,2,28.492594332805428,196.37433398747817,1.705538417038042,43,11407,13.648178100585938
mistral-small4,decode,0,49.030280585181195,124.0869159810245,27.385184791055508,1331,41,67.26516723632812
mistral-small4,decode,1,48.372773685627024,42.226333054713905,42.359726166003384,2048,41,67.29478454589844
mistral-small4,decode,2,49.36023397763671,54.102875059470534,41.532522541005164,2048,41,67.33963012695312
qwen27,decode,0,18.283666600308333,169.1594590083696,98.45614791699336,1797,38,15.510116577148438
qwen27,decode,1,18.314987552283906,376.6651249898132,98.67622508297791,1797,38,15.51019287109375
qwen27,decode,2,18.281151795649333,299.2541659914423,98.63209062500391,1797,38,15.510238647460938
qwen27,prefill,0,17.313937525562682,28128.715958009707,30.841703874990344,48,11415,15.328994750976562
qwen27,prefill,1,16.587245183883677,28705.88462500018,31.536471333994996,48,11415,15.329299926757812
qwen27,prefill,2,18.220954465916552,29146.122624981217,31.723866249987623,48,11415,15.329299926757812
qwen36-35b,decode,0,78.27353716309243,174.13787500117905,21.535124749992974,1672,38,18.74969482421875
qwen36-35b,decode,1,79.23575018249406,383.7987500010058,21.48538479101262,1672,38,18.686447143554688
qwen36-35b,decode,2,76.83650976714925,448.7395419855602,22.209228208987042,1672,38,18.68939208984375
qwen36-35b,prefill,0,75.08709013567147,5208.937624993268,6.074599084007787,65,11415,18.692657470703125
qwen36-35b,prefill,1,79.20336446859089,5315.284667012747,6.135956875019474,65,11415,18.681793212890625
qwen36-35b,prefill,2,79.01760057571953,5240.680791990599,6.063282332994277,65,11415,18.681716918945312
qwen35,decode,0,69.78176736947503,182.28670800453983,27.811280249996344,1928,38,18.75335693359375
qwen35,decode,1,78.22795689430406,390.6182080099825,25.0365386249905,1928,38,18.690353393554688
qwen35,decode,2,77.84594823954028,420.6227079848759,25.187486540991813,1928,38,18.691329956054688
qwen35,prefill,0,76.55042049836945,5283.086541981902,6.079946958983783,61,11415,18.695632934570312
qwen35,prefill,1,77.76265372024444,5370.081208006013,6.154519458010327,61,11415,18.683502197265625
qwen35,prefill,2,76.33975092851063,5378.809167013969,6.177868625003612,61,11415,18.68280029296875
qwen36-27b,decode,0,18.48439367790996,306.3921669963747,90.65287737498875,1670,38,14.755538940429688
qwen36-27b,decode,1,18.347694482356758,919.3114169756882,91.93892162499833,1670,38,14.706253051757812
qwen36-27b,decode,2,20.41151623262634,796.7404589871876,82.61329837498488,1670,38,14.706451416015625
qwen36-27b,prefill,0,22.85355741909028,24567.70083302399,26.361732250021305,41,11415,14.712493896484375
qwen36-27b,prefill,1,22.491982774034334,26091.739791008877,27.914611540996702,41,11415,14.696548461914062
qwen36-27b,prefill,2,22.874747645424407,25266.198500001337,27.058568000007654,41,11415,14.69482421875
ornith,decode,0,59.36406111727746,180.34854100551456,34.67933600000106,2048,38,21.325653076171875
ornith,decode,1,58.07698084325422,472.47545802383684,35.736016542010475,2048,38,21.179656982421875
ornith,decode,2,59.518670579016096,476.2955000041984,34.88566620799247,2048,38,21.185760498046875
ornith,prefill,0,60.109343997345114,5556.909457984148,6.238999749999493,41,11415,21.193893432617188
ornith,prefill,1,67.35247087984597,5535.467666981276,6.144205541990232,41,11415,21.181106567382812
ornith,prefill,2,68.65867532933252,5640.305166016333,6.237462040997343,41,11415,21.17974853515625
coder,decode,0,114.59106905927553,135.9822500089649,18.00823020801181,2048,34,16.32611083984375
coder,decode,1,113.78354149579471,144.90604199818335,18.143994249985553,2048,34,16.326629638671875
coder,decode,2,113.495755013683,146.66941601899453,18.191397165996023,2048,34,16.326614379882812
coder,prefill,0,75.47337121964426,4193.013249983778,5.266239457996562,81,11411,16.33074951171875
coder,prefill,1,76.63460853525619,3966.831875004573,5.023795583023457,81,11411,16.33111572265625
coder,prefill,2,77.62982102435032,4043.6858339817263,5.087099291995401,81,11411,16.331130981445312
deepseek-32b,decode,0,18.181900000126554,317.954792000819,75.44761670799926,1366,31,17.495864868164062
deepseek-32b,decode,1,11.574560836634086,191.2864579935558,118.20872308302205,1366,31,17.496734619140625
deepseek-32b,prefill,0,12.498558872232051,86442.00341700343,96.68318412499502,128,11408,17.500473022460938
deepseek-32b,prefill,1,11.268043063991657,439.9586249492131,11.799517624953296,128,11408,17.508651733398438
aya,decode,0,24.24660001387336,548.7416670075618,63.650372375006555,1530,33,18.830062866210938
aya,decode,1,23.915788553669316,418.15608300385065,64.39263037501951,1530,33,18.830551147460938
aya,decode,2,23.363958305293917,452.93554101954214,65.93841450000764,1530,33,18.83056640625
aya,prefill,0,14.314267137809024,23829.085292003583,28.579590459004976,68,11409,18.834274291992188
aya,prefill,1,14.200543468399799,24430.52875000285,29.219077874993673,68,11409,18.836380004882812
aya,prefill,2,13.763624141183959,25251.924833020894,30.19248404202517,68,11409,18.836624145507812
glm-flash,decode,0,81.1102517543829,162.24745800718665,25.411830041004578,2048,29,16.094390869140625
glm-flash,decode,1,80.51967020542793,159.5987500040792,25.594377541012364,2048,29,16.094497680664062
glm-flash,decode,2,78.90411431792744,166.77441701176576,26.122328416997334,2048,29,16.094467163085938
glm-flash,prefill,0,56.24378090981327,9392.095124989282,10.423320250003599,58,11408,16.100296020507812
glm-flash,prefill,1,55.244900041808236,9132.332417008001,10.182203083008062,58,11408,16.10113525390625
glm-flash,prefill,2,51.653256748939484,9240.978999994695,10.363851083006011,58,11408,16.101165771484375
